nome_empresa,situacao,cidade,estado,cnpj,dono,telefone_site,telefone_receita
CORADIN MADEIRAS TRATADAS LTDA,ATIVA,BOCAIUVA DO SUL,PR,11266139000106,MARIA TEREZA MOTTIN CORADIN/CLEVERSON CORADIN,N/A,(41) 3666-1610
ALESSANDRO CECON COMERCIO DE MADEIRAS,ATIVA,COLOMBO,PR,22242375000109,N/A,N/A,(41) 3656-4558
N/A,N/A,N/A,N/A,000000000000000,N/A,N/A,N/A
MADEIREIRA CURITIBA LTDA,ATIVA,CURITIBA,PR,28386954000101,LUCIANA RAQUEL SCHERER JANKAUSKAS FRANCISCO/GRAZIELA APARECIDA GOMES PINTO ROPELATO,N/A,(41) 9620-0766
KLENK MADEIRAS TRATADAS LTDA,ATIVA,CONTENDA,PR,37684152000160,EVERTON TADEU KLENK/SOLANGE KLENK,N/A,(41) 9541-1291
N/A,N/A,N/A,N/A,000000000000000,N/A,N/A,N/A
ROTA 66 MADEIRAS LTDA,ATIVA,MANDIRITUBA,PR,13335300000173,LUCIANA PALU,N/A,(41) 9961-0938 / (41) 3626-1113 / (41) 3621-113
JOVIAN CECON,ATIVA,COLOMBO,PR,10245638000146,N/A,N/A,(41) 3656-1304 / (41) 3621-7302
FRM MADEIRAS LTDA.,ATIVA,BELO HORIZONTE,MG,39821900000135,FELIPE ROCHA MONTEIRO,N/A,(31) 9686-9828
ARTE EUCALIPTO COMERCIO DE MADEIRAS AUTO CLAVADAS E SERVICOS LTDA,ATIVA,CURITIBA,PR,07453503000161,KEVYLIN CIBELE SILVA DO VALE/AMAURI BARBOSA DO VALE,N/A,(41) 3077-8422
EUCALIPTO BOM PASTOR COMERCIO DE MADEIRAS LTDA,ATIVA,SAO JOSE DOS PINHAIS,PR,07458576000146,ADRIANO BARROS FERNANDES/BRUNO BARROS FERNANDES,N/A,(41) 3035-5655
MADEIREIRA CURITIBA LTDA,ATIVA,CURITIBA,PR,28386954000101,LUCIANA RAQUEL SCHERER JANKAUSKAS FRANCISCO/GRAZIELA APARECIDA GOMES PINTO ROPELATO,N/A,(41) 9620-0766
"TREE SERVICOS, COMERCIALIZACAO, IMPORTACAO E EXPORTACAO DE MADEIRAS LTDA.",ATIVA,CURITIBA,PR,18132905000180,"GUSTAVO ALMEIDA MAGALHAES/TREE FLORESTAL EMPREENDIMENTOS E PARTICIPACOES S/A/RAFAEL BOGNAR CORDEIRO/ALEXANDRA PIMENTEL/TREE SERVICOS, COMERCIALIZACAO, IMPORTACAO E EXPORTACAO DE MADEIRAS LTDA.",N/A,(41) 3122-2900
SCROCCARO COMERCIO DE MADEIRAS LTDA,ATIVA,CURITIBA,PR,07049396000100,DYONE BATISTA SCROCCARO/MARIA ROSELI SCROCCARO,N/A,(41) 3348-2102 / (41) 3348-2102
SLM COMERCIO DE MADEIRAS LTDA,ATIVA,CURITIBA,PR,56104510000163,SUSIMARA DA CRUZ CIONEK,N/A,(41) 3085-8287 / (0000) 0000-0000
OS BRUTOS RUSTICOS COMERCIO DE MADEIRAS LTDA,ATIVA,SAO JOSE DOS PINHAIS,PR,41650858000189,ALDONI RAFAELI ANDRADE/GISLAINE BASSO CLAUDINO,N/A,(41) 9185-1262
MADEMAPE INDUSTRIA MADEREIRA LTDA,ATIVA,CAMPINA GRANDE DO SUL,PR,08211743000112,LUCIANO ZATTI,N/A,(41) 3238-2537
TIMBERS COMERCIO DE MATERIAIS DE CONSTRUCAO LTDA,ATIVA,PORTO ALEGRE,RS,32766066000183,RAFAEL SAMPAIO VELLINHO,N/A,(51) 3336-6656
MENDES MAIA MADEIRA DE EUCALIPTO LTDA,ATIVA,VITORIA DA CONQUISTA,BA,27871221000191,MARCELINO SANTOS MENDES SOBRINHO/JAIME LEAL MAIA,N/A,(77) 9909-4191
ELIANA APARECIDA CAMPOS,ATIVA,VARGEM GRANDE PAULISTA,SP,09256692000108,N/A,N/A,(11) 7567-2618
USINA ARAUCARIA LTDA,ATIVA,CUNHA,SP,04059136000128,RENZO ALEXANDRE BARRETTO,N/A,(11) 5081-2000/ (11) 5083-4777
BUCCO IRRIGACAO E IMPLEMENTOS AGRICOLAS LTDA,ATIVA,COLOMBO,PR,11454150000191,RENATA ALVES BUCCO DOMAKOSKI/JESSICA ALVES BUCCO TREVISAN/CARLOS RENATO BUCCO,N/A,(41) 3656-3653 / (41) 3656-3618
COMERCIO DE MADEIRAS SUSIN LTDA,BAIXADA,PINHAIS,PR,77989515000271,N/A,N/A,(41) 3653-0101 / (41) 3033-7878
PARAFUSOS E FERRAGENS ROTHBARTH LTDA,ATIVA,ARAUCARIA,PR,01877343000100,UDO ROTHBARTH/BEATRIZ MARIA BERNAR ROTHBARTH,N/A,(41) 3031-1313 / (41) 3642-3923 / (41) 3031-3923
